admin2Pcode;admin2_name;admin1Pcode;admin1_name;admin0Pcode;admin0_name;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0306;Toffo;BJ03;Atlantique;BJ;Benin;14;Fon;0;583;0;0;52;0;0;0;0;318;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;25;0;0;0;583;0;0;0;0;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;102;1;49;18;52;83;0;495;0;63;0;372;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0307;Tori-Bossito;BJ03;Atlantique;BJ;Benin;19;Toli Gbe;0;36;0;0;35;0;0;0;0;283;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;5;0;0;0;4;0;1;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;2;0;0;0;11;0;36;0;0;0;0;0;0;1;0;0;0;1;0;0;2;58;25;28;8;29;45;0;515;0;603;0;429;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;
BJ0308;Ze;BJ03;Atlantique;BJ;Benin;17;Ayizo Gbe;0;816;0;0;5;0;0;0;0;816;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;118;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;1;0;1;0;3;109;67;54;9;55;58;0;466;0;584;0;357;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0401;Bembereke;BJ04;Borgou;BJ;Benin;32;Baatonum;0;504;0;0;3;0;0;0;0;1;0;504;0;0;4;0;0;0;361;0;0;0;0;14;0;16;0;0;0;5;0;0;0;1;0;18;0;3;0;1;0;5;0;0;1;0;3;0;4;0;7;0;0;1;0;2;0;0;1;0;2;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;4;0;4;0;15;0;3;132;63;67;61;65;2;0;38;0;416;0;342;Yes;High;;;;;;;;;;;
BJ0402;Kalale;BJ04;Borgou;BJ;Benin;17;Borgu Fulfulde;0;714;0;0;1;0;0;0;0;0;68;0;0;0;6;0;136;0;714;0;0;0;0;6;0;1;0;0;0;1;0;0;0;0;2;0;0;0;35;0;0;0;3;0;0;5;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;9;0;4;174;85;21;88;79;0;191;0;215;0;169;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0403;Natitingou;BJ04;Atacora;BJ;Benin;37;Ditammari;0;372;0;0;8;0;0;3;0;0;0;31;0;0;12;0;0;1;0;33;0;0;0;1;0;61;0;372;0;0;0;6;0;0;0;1;0;47;0;2;0;1;0;0;3;0;7;0;6;0;7;0;2;0;2;0;1;0;8;0;0;1;0;12;0;0;6;0;4;0;12;0;0;0;1;0;14;0;0;0;1;0;0;0;0;0;13;0;0;5;0;0;1;0;272;0;0;0;0;0;0;0;1;0;5;0;11;0;2;104;11;50;45;53;66;0;534;0;608;0;467;Yes;High;;;;;;
BJ0404;Nikki;BJ04;Borgou;BJ;Benin;27;Borgu Fulfulde;0;448;0;0;0;0;0;0;0;38;0;0;6;0;0;26;0;448;0;0;0;0;39;0;6;0;0;0;3;0;0;0;1;0;5;0;2;0;0;18;0;0;2;0;11;0;0;1;0;0;0;2;0;0;2;0;1;0;0;1;0;14;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;5;0;11;0;3;156;66;78;4;78;62;0;318;0;367;0;269;Yes;High;;;;;;;;;;;;;;;;
BJ0405;Parakou;BJ04;Borgou;BJ;Benin;42;Baatonum;0;295;0;0;12;0;0;3;0;0;1;0;295;0;0;14;0;1;0;4;0;34;0;0;0;4;0;164;0;26;0;0;1;0;31;0;0;0;2;0;139;0;22;0;0;0;7;0;1;0;3;0;12;0;7;0;1;0;1;0;5;0;1;0;1;0;22;0;0;14;0;4;0;0;0;1;0;0;7;0;1;0;1;0;1;0;0;0;0;0;99;0;0;4;0;0;0;4;0;0;0;1;0;0;1;0;0;12;0;14;0;19;0;4;254;55;126;11;128;44;0;737;0;815;0;66;Yes;High;
BJ0406;Perere;BJ04;Borgou;BJ;Benin;22;Baatonum;0;51;0;0;0;0;0;0;0;51;0;0;37;0;0;1;0;339;0;0;0;0;55;0;5;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;11;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;18;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;4;0;4;0;2;79;27;39;1;40;26;0;291;0;36;0;224;Yes;High;;;;;;;;;;;;;;;;;;;;;
BJ0407;Sinende;BJ04;Borgou;BJ;Benin;17;Baatonum;0;553;0;0;0;0;0;0;0;553;0;0;0;0;0;374;0;0;0;0;3;0;7;0;0;0;1;0;0;0;0;3;0;0;0;11;0;0;0;4;0;0;3;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;4;0;1;0;4;91;17;45;4;46;13;0;313;0;326;0;299;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0408;Tchaourou;BJ04;Borgou;BJ;Benin;32;Baatonum;0;26;0;0;9;0;0;1;0;0;0;26;0;0;78;0;0;0;249;0;0;1;0;0;6;0;68;0;0;3;0;4;0;0;0;0;19;0;2;0;1;0;2;0;0;1;0;24;0;1;0;2;0;1;0;0;3;0;0;1;0;51;0;0;4;0;31;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;102;0;0;1;0;0;0;6;0;0;0;0;0;0;0;36;0;8;0;6;0;4;225;83;113;29;112;54;0;37;0;436;0;304;Yes;High;;;;;;;;;;;
BJ0501;Bante;BJ05;Collines;BJ;Benin;27;Ifè;0;576;0;0;11;0;0;2;0;0;0;1;0;0;1;0;0;0;32;0;0;0;0;0;6;0;0;8;0;62;0;5;0;0;1;0;33;0;1;0;0;0;1;0;5;0;1;0;0;1;0;576;0;0;21;0;0;0;9;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;204;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;0;4;0;2;0;4;109;53;89;55;11;0;601;0;7;0;505;Yes;High;;;;;;;;;;;;;;;;;
BJ0502;Dassa-Zoume;BJ05;Collines;BJ;Benin;27;Ede Idaca;0;386;0;0;8;0;0;0;0;1;0;5;0;0;1;0;0;0;39;0;0;0;1;0;2;0;2;0;0;1;0;386;0;5;0;0;0;336;0;2;0;0;0;3;0;0;0;3;0;6;0;3;0;1;0;1;0;0;0;0;0;158;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;9;0;4;0;4;113;63;55;46;58;17;0;554;0;639;0;473;Yes;High;;;;;;;;;;;;;;;;
BJ0503;Glazoue;BJ05;Collines;BJ;Benin;30;Ede Idaca;0;441;0;0;19;0;0;0;0;0;1;0;0;2;0;0;0;39;0;0;0;0;7;0;8;0;0;1;0;441;0;1;0;0;0;116;0;2;0;1;0;0;1;0;0;0;1;0;1;0;3;0;1;0;4;0;1;0;0;1;0;0;31;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;24;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;3;0;3;0;3;0;3;122;17;60;14;62;3;0;593;0;685;0;506;Yes;High;;;;;;;;;;;;;
BJ0504;Ouesse;BJ05;Collines;BJ;Benin;24;Maxi Gbe;0;391;0;0;7;0;0;0;0;0;7;0;0;5;0;0;0;79;0;0;0;0;3;0;21;0;0;107;0;7;0;1;0;0;0;89;0;1;0;0;0;0;0;2;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;391;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;16;0;0;0;0;0;6;0;0;0;0;0;0;0;37;0;6;0;0;4;141;59;70;81;70;78;0;48;0;566;0;395;Yes;High;;;;;;;;;;;;;;;;;;;
BJ0505;Savalou;BJ05;Collines;BJ;Benin;26;Maxi Gbe;0;397;0;1;0;13;0;0;0;0;0;3;0;0;2;0;0;0;51;0;0;0;0;2;0;9;0;0;0;12;0;0;0;2;0;85;0;1;0;0;0;4;0;1;0;0;1;0;2;0;336;0;0;9;0;1;0;1;0;1;0;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;2;0;8;0;4;144;22;70;92;73;3;0;528;0;64;0;423;Yes;High;;;;;;;;;;;;;;;;;
BJ0506;Save;BJ05;Collines;BJ;Benin;32;Ede Cabe;0;337;0;0;14;0;0;0;0;0;5;0;0;2;0;0;0;7;0;0;0;1;0;2;0;32;0;0;337;0;119;0;2;0;0;0;26;0;0;0;1;0;2;0;0;2;0;2;0;7;0;9;0;1;0;1;0;0;0;7;0;0;36;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;48;0;1;0;2;0;0;0;3;0;0;0;0;0;0;0;2;0;4;0;3;0;4;86;97;43;78;43;19;0;565;0;638;0;492;Yes;High;;;;;;;;;;;
BJ0601;Aplahoue;BJ06;Couffo;BJ;Benin;18;Aja;0;94;0;1;0;94;0;0;0;0;4;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;36;0;1;0;0;0;4;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;3;170;99;79;12;91;87;0;492;0;619;0;387;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;
