ADM2_CODE;ADM2_NAME;ADM1_CODE;ADM1_NAME;ADM0_CODE;ADM0_NAME;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence
BJ0205;Materi;BJ02;Atacora;BJ;Benin;16;Biali;0,855058553;0;0,001151853;0;0;0;0;0;0;0,855058553;0;0;0,051833365;0;0,01679785;0;0;0,003167595;0;0;0;0;0;0,000671914;0,002303705;0,000575926;0,00335957;0;0;0;0,052025341;0;0,00460741;0;0;0;0;0;0;0;0;0;0;0;0;0,001055865;0,001439816;0;0;0;0,000575926;0;0;0;0;0;0;0;0;0,001631791;0;0;0;0;0;0;0;0;0,000575926;0,0031675929;116070;56480;59590;0,429146628;0,55241653;0,315800773;Yes;High
BJ0206;Natitingou;BJ02;Atacora;BJ;Benin;37;Ditammari;0,371579503;0;0,008029583;0;0,002746962;0;0;0,030533545;0;0,012044374;0;0,000845219;0,033069202;0;0;0,000739567;0,061172742;0,371579503;0;0;0,006339144;0;0;0,001162176;0,046804015;0,020179609;0,000739567;0;0,00264131;0,006867406;0,006444797;0,006550449;0,002007396;0,001690438;0,000528262;0,00834654;0;0,000633914;0,011727417;0;0,006444797;0,004331749;0,011621764;0;0;0,000845219;0,013734812;0;0;0,001056524;0;0;0;0;0,012572636;0;0,004648706;0;0,000633914;0,272160592;0;0;0;0;0;0;0,009720021;0,005493925;0,01098785;0,002324353;104110;50450;53660;0,53434115;0,607692308;0,466712423;Yes;High
BJ0207;Penhunco;BJ02;Atacora;BJ;Benin;23;Baatonum;0,625364634;0;0,001111265;0;0;0;0;0,625364634;0;0,001805806;0;0;0,291429365;0;0;0;0,008056675;0,005000695;0;0;0;0;0;0,00305598;0,004028337;0,000555633;0;0,008890124;0;0,000555633;0,007501042;0;0,000972357;0;0;0,003889429;0;0;0,002917072;0;0,000972357;0;0;0,00152799;0;0;0,001666898;0;0;0;0;0;0;0;0,001944715;0;0;0;0;0,00305598;0;0;0;0;0;0;0,003472705;0,008473399;0,011529378;0,00222253;81630;41280;40350;0,342066481;0,398686371;0,285760941;Yes;High
BJ0208;Taqnguiete;BJ02;Atacora;BJ;Benin;27;Waama;0,27808418;0;0,001306241;0;0;0;0;0,006240929;0;0,146153846;0;0;0,049201742;0;0,055732946;0;0,039477504;0,036574746;0;0;0;0;0,000580552;0,002177068;0,007692308;0,005950653;0,008998549;0;0,000580552;0,000580552;0,055297533;0,001596517;0,010740203;0;0;0;0;0;0,000870827;0;0,001741655;0,020174165;0,000725689;0;0;0,000725689;0,246298984;0;0;0;0;0;0;0;0,002467344;0;0;0;0;0,27808418;0;0;0;0;0;0;0;0,005515239;0,011175617;0,003338174;76480;37000;39480;0,389695946;0,478353442;0,309155384;Yes;High
BJ0209;Toucountouna;BJ02;Atacora;BJ;Benin;15;Waama;0,66741447;0;0,001402131;0;0;0;0;0;0;0,005608525;0;0;0,068424004;0;0;0;0;0,079921481;0;0;0;0;0;0,000560852;0,003925967;0,002523836;0,000841279;0;0,000560852;0;0;0;0;0;0;0,002804263;0;0;0;0;0;0,001402131;0;0;0;0;0,159282109;0;0;0;0;0;0;0;0,002523836;0;0;0;0;0,66741447;0;0;0;0;0;0;0;0;0,000560852;0,002243408;39490;19260;20230;0,353558544;0,427111717;0,285262492;Yes;High
BJ0301;Abomey-Calavi;BJ03;Atlantique;BJ;Benin;35;Fon;0,565235473;0;0,050721142;0;0,001397368;0;0,143662768;0,005572838;0;0,001347462;0;0;0,000598872;0;0;0;0,008899905;0,001147838;0;0,001547086;0,01380733;0;0,000715319;0,000582237;0,565235473;0,023572272;0;0;0,043185334;0,001131203;0;0,026067573;0,001613628;0;0;0,000765225;0,008766822;0;0,00171344;0;0,020178664;0;0;0;0;0;0;0;0;0,012775939;0;0;0;0;0,021409678;0;0,001813252;0,003060902;0,001164474;0,000948214;0,003060902;0,001197744;0,006005357;0;0,008467386;0;0,000648778;0,010413721;0,001280921;0,00552293;667380;329740;337640;0,778335061;0,870668527;0,68932427;Yes;High
BJ0302;Allada;BJ03;Atlantique;BJ;Benin;16;Ayizo Gbe;0,598384856;0;0,009291421;0;0;0;0,598384856;0,001128864;0;0;0;0;0;0;0;0;0,00060785;0;0;0;0,001389371;0;0,000521014;0;0,344303578;0,003820771;0;0;0,004168114;0;0;0,005123307;0;0;0;0;0,0012157;0;0;0;0,005991664;0;0;0;0;0;0;0;0;0,016151441;0;0;0;0;0,001736714;0;0;0;0;0;0;0;0,001128864;0;0;0;0;0,002084057;0;0,0029524122;127330;62050;65280;0,555937531;0,676362147;0,444989621;Yes;High
BJ0303;Kpomasse;BJ03;Atlantique;BJ;Benin;17;Fon;0,294393987;0;0,024898215;0;0;0;0,120106483;0;0;0;0;0;0,001722518;0;0;0;0,001722518;0;0;0;0,000782963;0;0;0;0,294393987;0;0;0;0,014876292;0;0;0,004227999;0,002192295;0;0;0;0,043532728;0;0;0;0,001565925;0;0;0;0;0;0;0;0;0,238333855;0;0;0;0;0,006420294;0;0;0;0;0;0,002035703;0;0,004541184;0;0,235515189;0;0;0,001096148;0;0,002035708;70050;34370;35680;0,567024837;0,696969697;0,44302926;Yes;High
BJ0304;Ouidah;BJ03;Atlantique;BJ;Benin;26;Fon;0,71235469;0;0,05224385;0,001148959;0;0;0,009597188;0,000878616;0;0;0;0;0,003514464;0;0;0;0,004460665;0;0;0;0,001959989;0;0,002027575;0,001148959;0,71235469;0,006961341;0;0;0,060759665;0,000675858;0;0,013246823;0,003108948;0;0;0;0,006015139;0,000608273;0;0;0,003649635;0;0;0;0;0;0;0;0;0,018315761;0;0;0;0;0,005339281;0;0;0;0,008853744;0;0,006285483;0;0,025479859;0;0,036428765;0;0;0,007975128;0,002162747;0,0047985948;165170;81030;84140;0,720370087;0,829380139;0,618300267;Yes;High
BJ0305;So-Ava;BJ03;Atlantique;BJ;Benin;5;Tofin Gbe;0,847161572;0;0;0;0;0;0,14505411;0;0;0;0;0;0,000569584;0;0;0;0;0;0;0;0;0;0;0;0,003417505;0;0;0;0;0;0;0,001803683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,847161572;0;0;0;0;0;0;0;0;0;0;0;0,0019935439;117560;60000;57560;0,361685654;0,449376777;0,271933751;Yes;High
